Section,Key,Present in OpenSimDefaults.ini,Present in OpenSim.ini,Present in OpenSim.ini.template,Notes
Startup,ConsolePrompt,yes,yes,yes,
Startup,ConsoleHistoryFileEnabled,yes,yes,yes,
Startup,LogFile,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini"
Startup,ConsoleHistoryFile,yes,yes,yes,
Startup,ConsoleHistoryFileLines,yes,yes,yes,conflicting default values: OpenSimDefaults.ini+OpenSim.ini.template=100; OpenSim.ini=500
Startup,ConsoleHistoryTimeStamp,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini.template | conflicting default values: OpenSimDefaults.ini+OpenSim.ini.template=false; OpenSim.ini=true"
Startup,save_crashes,yes,yes,yes,
Startup,crash_dir,yes,yes,yes,
Startup,PIDFile,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
Startup,startup_console_commands_file,yes,yes,yes,
Startup,shutdown_console_commands_file,yes,yes,yes,
Startup,timer_Script,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
Startup,timer_Interval,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
Startup,async_call_method,yes,yes,yes,
Startup,MaxPoolThreads,yes,yes,yes,
Startup,JobEngineEnabled,yes,yes,yes,
Startup,RegistryLocation,yes,yes,yes,
Startup,ConfigDirectory,yes,yes,yes,"conflicting default values: OpenSimDefaults.ini+OpenSim.ini.template="".""; OpenSim.ini=""./config-include"""
Startup,clientstack_plugin,yes,yes,yes,
Startup,region_info_source,yes,yes,yes,
Startup,regionload_regionsdir,yes,yes,yes,"present but commented: OpenSimDefaults.ini | conflicting default values: OpenSimDefaults.ini=""C:\somewhere\xmlfiles\""; OpenSim.ini=""Estates""; OpenSim.ini.template=""Regions"""
Startup,regionload_webserver_url,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
Startup,allow_regionless,yes,yes,yes,
Startup,see_into_region,yes,yes,yes,
Startup,LegacySitOffsets,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
Startup,MaxPrimUndos,yes,yes,yes,
Startup,NonPhysicalPrimMin,yes,yes,yes,present but commented: OpenSimDefaults.ini
Startup,NonPhysicalPrimMax,yes,yes,yes,
Startup,PhysicalPrimMin,yes,yes,yes,present but commented: OpenSimDefaults.ini
Startup,PhysicalPrimMax,yes,yes,yes,
Startup,ClampPrimSize,yes,yes,yes,
Startup,LinksetPrims,yes,yes,yes,
Startup,AllowScriptCrossing,yes,yes,yes,present but commented: OpenSim.ini.template | conflicting default values: OpenSimDefaults.ini+OpenSim.ini=true; OpenSim.ini.template=false
Startup,TrustBinaries,yes,yes,yes,
Startup,DefaultDrawDistance,yes,yes,yes,present but commented: OpenSimDefaults.ini | conflicting default values: OpenSimDefaults.ini+OpenSim.ini.template=255.0; OpenSim.ini=512.0
Startup,MaxDrawDistance,yes,yes,yes,present but commented: OpenSimDefaults.ini | conflicting default values: OpenSimDefaults.ini+OpenSim.ini.template=512; OpenSim.ini=4096
Startup,MaxRegionsViewDistance,yes,yes,yes,present but commented: OpenSimDefaults.ini | conflicting default values: OpenSimDefaults.ini+OpenSim.ini.template=255; OpenSim.ini=512
Startup,MinRegionsViewDistance,yes,yes,yes,present but commented: OpenSimDefaults.ini
Startup,InworldRestartShutsDown,yes,yes,yes,conflicting default values: OpenSimDefaults.ini=false; OpenSim.ini+OpenSim.ini.template=true
Startup,Normalized55FPS,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini"
Startup,FrameTime,yes,yes,yes,
Startup,FrameTimeWarnPercent,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini"
Startup,FrameTimeCritPercent,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini"
Startup,UpdateObjectsEveryNFrames,yes,yes,yes,
Startup,UpdateAgentsEveryNFrames,yes,yes,yes,
Startup,UpdateEntityMovementEveryNFrames,yes,yes,yes,
Startup,UpdateCoarseLocationsEveryNFrames,yes,yes,yes,
Startup,UpdatePhysicsEveryNFrames,yes,yes,yes,
Startup,UpdateEventsEveryNFrames,yes,yes,yes,
Startup,UpdateTerrainEveryNFrames,yes,yes,yes,
Startup,UpdateStorageEveryNFrames,yes,yes,yes,
Startup,UpdateTempCleaningEveryNSeconds,yes,yes,yes,
Startup,MinimumTimeBeforePersistenceConsidered,yes,yes,yes,
Startup,MaximumTimeBeforePersistenceConsidered,yes,yes,yes,
Startup,collidable_prim,yes,yes,yes,
Startup,physical_prim,yes,yes,yes,
Startup,meshing,yes,yes,yes,present but commented: OpenSimDefaults.ini | conflicting default values: OpenSimDefaults.ini+OpenSim.ini.template=ubODEMeshmerizer; OpenSim.ini=Meshmerizer
Startup,DecodedSculptMapPath,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
Startup,CacheSculptMaps,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
Startup,physics,yes,yes,yes,present but commented: OpenSimDefaults.ini | conflicting default values: OpenSimDefaults.ini=BulletSim; OpenSim.ini+OpenSim.ini.template=ubODE
Startup,DefaultScriptEngine,yes,yes,yes,present but commented: OpenSimDefaults.ini
Startup,HttpProxy,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
Startup,HttpProxyExceptions,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
Startup,emailmodule,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini"
Startup,enableflyslow,yes,yes,yes,
Startup,LogShowStatsSeconds,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
Startup,Stats_URI,yes,yes,yes,
Startup,ManagedStatsRemoteFetchURI,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
Startup,StartDisabled,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini.template"
Startup,UseCSJ2K,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
Startup,UseTrashOnDelete,yes,yes,yes,
Startup,LogOverloads,yes,yes,yes,
Startup,SpawnPointRouting,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini.template"
Startup,TelehubAllowLandmark,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini.template | conflicting default values: OpenSimDefaults.ini+OpenSim.ini.template=false; OpenSim.ini=true"
Startup,EnableCertConverter,yes,yes,yes,
Startup,PemCertPublicKey,yes,yes,yes,
Startup,PemCertPrivateKey,yes,yes,yes,
Startup,outputCertName,yes,yes,yes,
Startup,outputCertPassword,yes,yes,yes,
Startup,EnableSelfsignedCertSupport,yes,yes,yes,
Startup,CertRenewOnStartup,yes,yes,yes,
Startup,CertFileName,yes,yes,yes,
Startup,CertPassword,yes,yes,yes,
Startup,CertHostName,yes,yes,yes,
Startup,CertHostIp,yes,yes,yes,
Startup,NoVerifyCertChain,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini.template"
Startup,NoVerifyCertHostname,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini.template"
Startup,economymodule,no,yes,no,missing from template
Startup,repeating_console_commands_file,no,no,yes,present but commented: OpenSim.ini.template
Map,GenerateMaptiles,yes,yes,yes,present but commented: OpenSimDefaults.ini
Map,WorldMapModule,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini"
Map,MapImageModule,yes,yes,yes,"present but commented: OpenSimDefaults.ini | conflicting default values: OpenSimDefaults.ini=""MapImageModule""; OpenSim.ini+OpenSim.ini.template=""Warp3DImageModule"""
Map,BlacklistTimeout,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini"
Map,MaptileRefresh,yes,yes,yes,present but commented: OpenSimDefaults.ini | conflicting default values: OpenSimDefaults.ini=0; OpenSim.ini+OpenSim.ini.template=3600
Map,MaptileStaticUUID,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
Map,DrawPrimOnMapTile,yes,yes,yes,
Map,TextureOnMapTile,yes,yes,yes,
Map,TexturePrims,yes,yes,yes,
Map,TexturePrimSize,yes,yes,yes,
Map,RenderMeshes,yes,yes,yes,conflicting default values: OpenSimDefaults.ini+OpenSim.ini.template=false; OpenSim.ini=true
Map,RenderMaxHeight,yes,yes,yes,present but commented: OpenSimDefaults.ini | conflicting default values: OpenSimDefaults.ini=4086; OpenSim.ini+OpenSim.ini.template=200
Map,RenderMinHeight,yes,yes,yes,present but commented: OpenSimDefaults.ini | conflicting default values: OpenSimDefaults.ini=-100; OpenSim.ini+OpenSim.ini.template=1
Map,ShowNPCs,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini"
Map,MapColorWater,no,yes,no,missing from template
Map,MaptileDirectory,no,yes,no,missing from template
Map,MaptileMaxObjectHeight,no,yes,no,missing from template
Map,MaptileMinObjectHeight,no,yes,no,missing from template
Map,TilesStoragePath,no,yes,no,missing from template
Permissions,permissionmodules,yes,yes,yes,"present but commented: OpenSimDefaults.ini | conflicting default values: OpenSimDefaults.ini+OpenSim.ini.template=""DefaultPermissionsModule""; OpenSim.ini=DefaultPermissionsModule"
Permissions,serverside_object_permissions,yes,yes,yes,
Permissions,allow_grid_gods,yes,yes,yes,
Permissions,region_owner_is_god,yes,yes,yes,present but commented: OpenSimDefaults.ini | conflicting default values: OpenSimDefaults.ini=true; OpenSim.ini+OpenSim.ini.template=false
Permissions,region_manager_is_god,yes,yes,yes,present but commented: OpenSimDefaults.ini
Permissions,automatic_gods,yes,yes,yes,
Permissions,implicit_gods,yes,yes,yes,
Permissions,allowed_script_creators,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini"
Permissions,allowed_script_editors,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini"
Permissions,simple_build_permissions,yes,yes,yes,present but commented: OpenSimDefaults.ini | conflicting default values: OpenSimDefaults.ini=False; OpenSim.ini+OpenSim.ini.template=false
Permissions,LevelUpload,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini"
RegionReady,enabled,yes,yes,yes,
RegionReady,channel_notify,yes,yes,yes,
RegionReady,login_disable,yes,yes,yes,conflicting default values: OpenSimDefaults.ini+OpenSim.ini.template=true; OpenSim.ini=false
RegionReady,alert_uri,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
EstateManagement,AllowRegionRestartFromClient,yes,yes,yes,
EstateManagement,IgnoreEstateMinorAccessControl,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini | conflicting default values: OpenSimDefaults.ini+OpenSim.ini=true;; OpenSim.ini.template=true"
EstateManagement,IgnoreEstatePaymentAccessControl,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini"
UserProfiles,ProfileURL,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
UserProfiles,AllowUserProfileWebURLs,yes,yes,yes,present but commented: OpenSimDefaults.ini
UserProfiles,ProfileServiceURL,no,yes,no,missing from template
SMTP,enabled,yes,yes,yes,
SMTP,internal_object_host,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
SMTP,host_domain_header_from,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
SMTP,SMTP_SERVER_FROM,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
SMTP,SMTP_SERVER_HOSTNAME,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
SMTP,SMTP_SERVER_PORT,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
SMTP,SMTP_SERVER_TLS,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
SMTP,SMTP_SERVER_LOGIN,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
SMTP,SMTP_SERVER_PASSWORD,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
SMTP,SMTP_VerifyCertChain,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
SMTP,SMTP_VerifyCertNames,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
SMTP,enableflyslow,no,no,yes,
SMTP,Stats_URI,no,no,yes,
SMTP,StartDisabled,no,no,yes,
SMTP,UseCSJ2K,no,no,yes,
SMTP,UseTrashOnDelete,no,no,yes,
SMTP,LogOverloads,no,no,yes,
SMTP,SpawnPointRouting,no,no,yes,
SMTP,EnableCertConverter,no,no,yes,
SMTP,PemCertPublicKey,no,no,yes,
SMTP,PemCertPrivateKey,no,no,yes,
SMTP,outputCertName,no,no,yes,
SMTP,outputCertPassword,no,no,yes,
SMTP,EnableSelfsignedCertSupport,no,no,yes,
SMTP,CertRenewOnStartup,no,no,yes,
SMTP,CertFileName,no,no,yes,
SMTP,CertPassword,no,no,yes,
SMTP,CertHostName,no,no,yes,
SMTP,CertHostIp,no,no,yes,
Network,ConsoleUser,yes,yes,yes,
Network,ConsolePass,yes,yes,yes,
Network,http_listener_port,yes,yes,yes,
Network,console_port,yes,yes,yes,
Network,http_listener_ssl,yes,yes,yes,
Network,http_listener_sslport,yes,yes,yes,
Network,http_listener_cn,yes,yes,yes,
Network,http_listener_cert_path,yes,yes,yes,
Network,http_listener_cert_pass,yes,yes,yes,
Network,https_listener,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
Network,https_port,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
Network,cert_path,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
Network,cert_pass,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
Network,HttpBodyMaxLenMAX,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
