Section                | Key                                       | Value in OpenSimDefaults.ini                                                                                                                                                                                                | Value in OpenSim.ini                                                                                                                                                                                                        | Value in OpenSim.ini.template                                               
-----------------------+-------------------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------------------------------------------------------------------
Startup                | ConsoleHistoryFileLines                   | 100                                                                                                                                                                                                                         | 500                                                                                                                                                                                                                         | 100                                                                         
Startup                | ConsoleHistoryTimeStamp                   | false                                                                                                                                                                                                                       | true                                                                                                                                                                                                                        | false                                                                       
Startup                | ConfigDirectory                           | "."                                                                                                                                                                                                                         | "./config-include"                                                                                                                                                                                                          | "."                                                                         
Startup                | regionload_regionsdir                     | "C:\somewhere\xmlfiles\"                                                                                                                                                                                                    | "Estates"                                                                                                                                                                                                                   | "Regions"                                                                   
Startup                | AllowScriptCrossing                       | true                                                                                                                                                                                                                        | true                                                                                                                                                                                                                        | false                                                                       
Startup                | DefaultDrawDistance                       | 255.0                                                                                                                                                                                                                       | 512.0                                                                                                                                                                                                                       | 255.0                                                                       
Startup                | MaxDrawDistance                           | 512                                                                                                                                                                                                                         | 4096                                                                                                                                                                                                                        | 512                                                                         
Startup                | MaxRegionsViewDistance                    | 255                                                                                                                                                                                                                         | 512                                                                                                                                                                                                                         | 255                                                                         
Startup                | InworldRestartShutsDown                   | false                                                                                                                                                                                                                       | true                                                                                                                                                                                                                        | true                                                                        
Startup                | meshing                                   | ubODEMeshmerizer                                                                                                                                                                                                            | Meshmerizer                                                                                                                                                                                                                 | ubODEMeshmerizer                                                            
Startup                | physics                                   | BulletSim                                                                                                                                                                                                                   | ubODE                                                                                                                                                                                                                       | ubODE                                                                       
Startup                | TelehubAllowLandmark                      | false                                                                                                                                                                                                                       | true                                                                                                                                                                                                                        | false                                                                       
Map                    | MapImageModule                            | "MapImageModule"                                                                                                                                                                                                            | "Warp3DImageModule"                                                                                                                                                                                                         | "Warp3DImageModule"                                                         
Map                    | MaptileRefresh                            | 0                                                                                                                                                                                                                           | 3600                                                                                                                                                                                                                        | 3600                                                                        
Map                    | RenderMeshes                              | false                                                                                                                                                                                                                       | true                                                                                                                                                                                                                        | false                                                                       
Map                    | RenderMaxHeight                           | 4086                                                                                                                                                                                                                        | 200                                                                                                                                                                                                                         | 200                                                                         
Map                    | RenderMinHeight                           | -100                                                                                                                                                                                                                        | 1                                                                                                                                                                                                                           | 1                                                                           
Permissions            | permissionmodules                         | "DefaultPermissionsModule"                                                                                                                                                                                                  | DefaultPermissionsModule                                                                                                                                                                                                    | "DefaultPermissionsModule"                                                  
Permissions            | region_owner_is_god                       | true                                                                                                                                                                                                                        | false                                                                                                                                                                                                                       | false                                                                       
Permissions            | simple_build_permissions                  | False                                                                                                                                                                                                                       | false                                                                                                                                                                                                                       | false                                                                       
RegionReady            | login_disable                             | true                                                                                                                                                                                                                        | false                                                                                                                                                                                                                       | true                                                                        
EstateManagement       | IgnoreEstateMinorAccessControl            | true;                                                                                                                                                                                                                       | true;                                                                                                                                                                                                                       | true                                                                        
Network                | ExternalHostNameForLSL                    | 127.0.0.1                                                                                                                                                                                                                   | ${Const|BaseHostname}                                                                                                                                                                                                       | ${Const|BaseHostname}                                                       
Network                | OutboundDisallowForUserScripts            | 0.0.0.0/8|10.0.0.0/8|100.64.0.0/10|127.0.0.0/8|169.254.0.0/16|172.16.0.0/12|192.0.0.0/24|192.0.2.0/24|192.88.99.0/24|192.168.0.0/16|198.18.0.0/15|198.51.100.0/24|203.0.113.0/24|224.0.0.0/4|240.0.0.0/4|255.255.255.255/32 | 0.0.0.0/8|10.0.0.0/8|100.64.0.0/10|127.0.0.0/8|169.254.0.0/16|172.16.0.0/12|192.0.0.0/24|192.0.2.0/24|192.88.99.0/24|192.168.0.0/16|198.18.0.0/15|198.51.100.0/24|203.0.113.0/24|224.0.0.0/4|240.0.0.0/4|255.255.255.255/32 |                                                                             
Network                | shard                                     | "OpenSim"                                                                                                                                                                                                                   | "MoonlightEstates"                                                                                                                                                                                                          | "OpenSim"                                                                   
ClientStack.LindenUDP  | DisableFacelights                         | false                                                                                                                                                                                                                       | "true"                                                                                                                                                                                                                      | false                                                                       
ClientStack.LindenCaps | Cap_EstateChangeInfo                      | "localhost"  broken on viewers                                                                                                                                                                                              | "localhost"  broken on viewers                                                                                                                                                                                              | "localhost"                                                                 
ClientStack.LindenCaps | Cap_EnvironmentSettings                   | "localhost" ; this also controls ExtEnvironment cap                                                                                                                                                                         | "localhost" ; this also controls ExtEnvironment cap                                                                                                                                                                         | "localhost"                                                                 
Chat                   | whisper_distance                          | 10                                                                                                                                                                                                                          | 3                                                                                                                                                                                                                           | 3                                                                           
