Module,File,Line,Hard-coded value,Expected config section/key
OpenSim.ConsoleClient,OpenSim/ConsoleClient/ConsoleClient.cs,71,"""Test""",Startup:user
OpenSim.ConsoleClient,OpenSim/ConsoleClient/ConsoleClient.cs,72,"""localhost""",Startup:host
OpenSim.ConsoleClient,OpenSim/ConsoleClient/ConsoleClient.cs,73,8003,Startup:port
OpenSim.ConsoleClient,OpenSim/ConsoleClient/ConsoleClient.cs,74,"""secret""",Startup:pass
OpenSim.Framework,OpenSim/Framework/RegionInfo.cs,556,9000,
OpenSim.Framework,OpenSim/Framework/RegionInfo.cs,570,false,
OpenSim.Framework,OpenSim/Framework/RegionInfo.cs,586,"""SYSTEMIP""",
OpenSim.Framework,OpenSim/Framework/RegionInfo.cs,618,"""<128, 128, 30>""",
OpenSim.Framework,OpenSim/Framework/RegionInfo.cs,632,0,
OpenSim.Framework,OpenSim/Framework/RegionInfo.cs,635,0,
OpenSim.Framework,OpenSim/Framework/RegionInfo.cs,638,0,
OpenSim.Framework,OpenSim/Framework/RegionInfo.cs,641,0,
OpenSim.Framework,OpenSim/Framework/RegionInfo.cs,644,false,
OpenSim.Framework,OpenSim/Framework/RegionInfo.cs,650,-1,
OpenSim.Framework,OpenSim/Framework/RegionInfo.cs,653,0,
OpenSim.Framework,OpenSim/Framework/RegionInfo.cs,668,100,
OpenSim.Framework,OpenSim/Framework/Util.cs,2321,""".""",Startup:ConfigDirectory
OpenSim.Server,OpenSim/Server/ServerMain.cs,116,30000,Startup:DnsTimeout
OpenSim.Server,OpenSim/Server/ServerMain.cs,126,""".""",Startup:RegistryLocation
OpenSim.Tools.Configger,OpenSim/Tools/Configger/ConfigurationLoader.cs,73,"""OpenSimDefaults.ini""",
OpenSim.Tools.Configger,OpenSim/Tools/Configger/Main.cs,44,"""ini""",Startup:format
pCampBot,OpenSim/Tools/pCampBot/BotManager.cs,293,0,
pCampBot,OpenSim/Tools/pCampBot/BotManager.cs,294,"""no""",
pCampBot,OpenSim/Tools/pCampBot/BotManager.cs,296,"""last""",
pCampBot,OpenSim/Tools/pCampBot/BotManager.cs,299,"""p""",
pCampBot,OpenSim/Tools/pCampBot/pCampBot.cs,103,1,
LaunchSLClient,OpenSim/Tools/LaunchSLClient/LaunchSLClient/Form1.cs,110,"""""",
LaunchSLClient,OpenSim/Tools/LaunchSLClient/LaunchSLClient/Form1.cs,111,"""""",
OpenSim.Services.AssetService,OpenSim/Services/AssetService/AssetService.cs,67,true,
OpenSim.Services.AssetService,OpenSim/Services/AssetService/XAssetService.cs,67,true,
OpenSim.Services.AssetService,OpenSim/Services/AssetService/XAssetServiceBase.cs,87,null,
