Module,File,Line,Hard-coded value,Expected config section/key
OpenSim.Framework.Capabilities,OpenSim/Capabilities/Caps.cs,154,CapsFlags.None,
OpenSim.Framework.Capabilities,OpenSim/Capabilities/Caps.cs,180,CapsFlags.None,
OpenSim.Framework.Capabilities,OpenSim/Capabilities/LLSDMapLayer.cs,35,0,
OpenSim.Framework.Capabilities,OpenSim/Capabilities/LLSDMapLayer.cs,36,0,
OpenSim.Framework.Capabilities,OpenSim/Capabilities/LLSDMapLayer.cs,37,0,
OpenSim.Framework.Capabilities,OpenSim/Capabilities/LLSDMapLayer.cs,38,0,
OpenSim.Framework.Capabilities,OpenSim/Capabilities/LLSDMapLayer.cs,39,UUID.Zero,
OpenSim.Framework.Capabilities,OpenSim/Capabilities/LLSDMapRequest.cs,33,0,
OpenSim.Framework.Capabilities,OpenSim/Capabilities/LLSDTest.cs,33,20,
OpenSim.Framework.Capabilities,OpenSim/Capabilities/LLSDTest.cs,34,10,
OpenSim.Framework,OpenSim/Framework/AgentCircuitData.cs,63,String.Empty,
OpenSim.Framework,OpenSim/Framework/AgentCircuitData.cs,117,string.Empty,
OpenSim.Framework,OpenSim/Framework/AgentUpdateArgs.cs,85,false,
OpenSim.Framework,OpenSim/Framework/AssetBase.cs,52,64,
OpenSim.Framework,OpenSim/Framework/AssetBase.cs,53,64,
OpenSim.Framework,OpenSim/Framework/AssetLandmark.cs,38,string.Empty,
OpenSim.Framework,OpenSim/Framework/AssetLandmark.cs,44,a.Data,
OpenSim.Framework,OpenSim/Framework/AssetLandmark.cs,45,a.Description,
OpenSim.Framework,OpenSim/Framework/AssetRequestToClient.cs,46,0,
OpenSim.Framework,OpenSim/Framework/AssetRequestToClient.cs,47,0,
OpenSim.Framework,OpenSim/Framework/AssetRequestToClient.cs,48,0,
OpenSim.Framework,OpenSim/Framework/AssetRequestToClient.cs,50,2,
OpenSim.Framework,OpenSim/Framework/AssetRequestToClient.cs,54,-1,
OpenSim.Framework,OpenSim/Framework/AvatarAppearance.cs,45,0.2f,
OpenSim.Framework,OpenSim/Framework/AvatarAppearance.cs,47,0.2f,
OpenSim.Framework,OpenSim/Framework/AvatarAppearance.cs,48,0.3f,
OpenSim.Framework,OpenSim/Framework/AvatarAppearance.cs,49,1.2f,
OpenSim.Framework,OpenSim/Framework/AvatarAppearance.cs,55,218,
OpenSim.Framework,OpenSim/Framework/AvatarAppearance.cs,58,45,
OpenSim.Framework,OpenSim/Framework/AvatarAppearance.cs,59,29,
OpenSim.Framework,OpenSim/Framework/AvatarAppearance.cs,60,6,
OpenSim.Framework,OpenSim/Framework/AvatarAppearance.cs,61,16,
OpenSim.Framework,OpenSim/Framework/AvatarAppearance.cs,62,15,
OpenSim.Framework,OpenSim/Framework/AvatarAppearance.cs,205,0,
OpenSim.Framework,OpenSim/Framework/AvatarAppearance.cs,212,appearance.AvatarPreferencesHoverZ,
OpenSim.Framework,OpenSim/Framework/AvatarAppearance.cs,298,0,
OpenSim.Framework,OpenSim/Framework/AvatarAppearance.cs,303,UUID.Zero,
OpenSim.Framework,OpenSim/Framework/AvatarAttachment.cs,42,attach.AttachPoint,
OpenSim.Framework,OpenSim/Framework/AvatarAttachment.cs,43,attach.ItemID,
OpenSim.Framework,OpenSim/Framework/AvatarAttachment.cs,44,attach.AssetID,
OpenSim.Framework,OpenSim/Framework/AvatarAttachment.cs,77,UUID.Zero,
OpenSim.Framework,OpenSim/Framework/AvatarAttachment.cs,82,UUID.Zero,
OpenSim.Framework,OpenSim/Framework/AvatarWearable.cs,52,0,
OpenSim.Framework,OpenSim/Framework/AvatarWearable.cs,53,1,
OpenSim.Framework,OpenSim/Framework/AvatarWearable.cs,54,2,
OpenSim.Framework,OpenSim/Framework/AvatarWearable.cs,55,3,
OpenSim.Framework,OpenSim/Framework/AvatarWearable.cs,56,4,
OpenSim.Framework,OpenSim/Framework/AvatarWearable.cs,57,5,
OpenSim.Framework,OpenSim/Framework/AvatarWearable.cs,58,6,
OpenSim.Framework,OpenSim/Framework/AvatarWearable.cs,59,7,
OpenSim.Framework,OpenSim/Framework/AvatarWearable.cs,60,8,
OpenSim.Framework,OpenSim/Framework/AvatarWearable.cs,61,9,
OpenSim.Framework,OpenSim/Framework/AvatarWearable.cs,62,10,
OpenSim.Framework,OpenSim/Framework/AvatarWearable.cs,63,11,
OpenSim.Framework,OpenSim/Framework/AvatarWearable.cs,64,12,
OpenSim.Framework,OpenSim/Framework/AvatarWearable.cs,66,13,
OpenSim.Framework,OpenSim/Framework/AvatarWearable.cs,68,13,
OpenSim.Framework,OpenSim/Framework/AvatarWearable.cs,69,14,
