Section,Key,Status,Notes
CONST,BaseHostname,NOT READ,
CONST,BaseURL,NOT READ,
CONST,PublicPort,NOT READ,
CONST,PrivURL,NOT READ,
CONST,PrivatePort,NOT READ,
Startup,ConsolePrompt,READ,
Startup,ConsoleHistoryFileEnabled,READ,
Startup,LogFile,NOT READ,
Startup,ConsoleHistoryFile,READ,
Startup,ConsoleHistoryFileLines,READ,
Startup,ConsoleHistoryTimeStamp,READ,
Startup,save_crashes,READ,
Startup,crash_dir,READ,
Startup,PIDFile,READ,
Startup,startup_console_commands_file,READ,
Startup,shutdown_console_commands_file,READ,
Startup,repeating_console_commands_file,NOT READ,
Startup,timer_Script,READ,
Startup,timer_Interval,READ,
Startup,async_call_method,READ,
Startup,MaxPoolThreads,READ,
Startup,JobEngineEnabled,READ,
Startup,RegistryLocation,READ,
Startup,ConfigDirectory,READ,
Startup,clientstack_plugin,READ,
Startup,region_info_source,READ,
Startup,regionload_regionsdir,READ,
Startup,regionload_webserver_url,READ,
Startup,allow_regionless,READ,
Startup,see_into_region,READ,
Startup,LegacySitOffsets,READ,
Startup,MaxPrimUndos,READ,
Startup,NonPhysicalPrimMin,READ,
Startup,NonPhysicalPrimMax,READ,
Startup,PhysicalPrimMin,READ,
Startup,PhysicalPrimMax,READ,
Startup,ClampPrimSize,READ,
Startup,LinksetPrims,READ,
Startup,AllowScriptCrossing,READ,
Startup,TrustBinaries,READ,
Startup,DefaultDrawDistance,READ,
Startup,MaxDrawDistance,READ,
Startup,MaxRegionsViewDistance,READ,
Startup,MinRegionsViewDistance,READ,
Startup,InworldRestartShutsDown,READ,
Startup,Normalized55FPS,READ,
Startup,FrameTime,READ,
Startup,FrameTimeWarnPercent,READ,
Startup,FrameTimeCritPercent,READ,
Startup,UpdateObjectsEveryNFrames,READ,
Startup,UpdateAgentsEveryNFrames,READ,
Startup,UpdateEntityMovementEveryNFrames,READ,
Startup,UpdateCoarseLocationsEveryNFrames,READ,
Startup,UpdatePhysicsEveryNFrames,READ,
Startup,UpdateEventsEveryNFrames,READ,
Startup,UpdateTerrainEveryNFrames,READ,
Startup,UpdateStorageEveryNFrames,READ,
Startup,UpdateTempCleaningEveryNSeconds,READ,
Startup,MinimumTimeBeforePersistenceConsidered,READ,
Startup,MaximumTimeBeforePersistenceConsidered,READ,
Startup,collidable_prim,READ,
Startup,physical_prim,READ,
Startup,meshing,READ,
Startup,physics,READ,
Startup,DefaultScriptEngine,READ,
Startup,emailmodule,READ,
Startup,DecodedSculptMapPath,READ,
Startup,CacheSculptMaps,READ,
YEngine,Enabled,READ,
YEngine,ScriptStackSize,READ,
YEngine,ScriptHeapSize,READ,
YEngine,NumThreadScriptWorkers,READ,
