Key                         | Reader locations                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | Defaults used                                                               | Risk description                                        
----------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------------------------------------------------------------------+---------------------------------------------------------
user                        | OpenSim/ConsoleClient/ConsoleClient.cs:71 (section=Startup, default="Test"); OpenSim/Region/OptionalModules/Avatar/Chat/ChannelState.cs:167 (section=UNKNOWN, default=null)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | "Test"; null                                                                | read from multiple sections; different fallback defaults
port                        | OpenSim/ConsoleClient/ConsoleClient.cs:73 (section=Startup, default=8003); OpenSim/Server/Base/HttpServerBase.cs:63 (section=Network, default=0); OpenSim/Region/OptionalModules/Avatar/Chat/ChannelState.cs:170 (section=UNKNOWN, default=Convert.ToString(cs.Port); OpenSim/ApplicationPlugins/RemoteController/RemoteAdminPlugin.cs:113 (section=RemoteAdmin, default=0)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | 0; 8003; Convert.ToString(cs.Port                                           | read from multiple sections; different fallback defaults
ExternalName                | OpenSim/Framework/GridInfo.cs:381 (section=GatekeeperService, default=string.Empty); OpenSim/Services/HypergridService/GatekeeperService.cs:109 (section=GatekeeperService, default=string.Empty); OpenSim/Services/HypergridService/UserAgentService.cs:141 (section=UserAgentService, default=string.Empty); OpenSim/Services/HypergridService/UserAgentService.cs:145 (section=GatekeeperService, default=string.Empty)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | string.Empty                                                                | read from multiple sections                             
Gatekeeper                  | OpenSim/Framework/GridInfo.cs:387 (section=GridService, default=string.Empty); OpenSim/Region/OptionalModules/DataSnapshot/DataSnapshotManager.cs:124 (section=GridService, default=gatekeeper)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | gatekeeper; string.Empty                                                    | different fallback defaults                             
http_listener_port          | OpenSim/Framework/NetworkServersInfo.cs:62 (section=Network, default=(int); OpenSim/Server/Handlers/Grid/GridInfoHandlers.cs:128 (section=Network, default=ConfigSettings.DefaultRegionHttpPort.ToString(); OpenSim/Region/OptionalModules/DataSnapshot/DataSnapshotManager.cs:143 (section=Network, default=m_listener_port); OpenSim/Region/CoreModules/Scripting/LSLHttp/UrlModule.cs:138 (section=Network, default=9000)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | (int; 9000; ConfigSettings.DefaultRegionHttpPort.ToString(; m_listener_port | different fallback defaults                             
cert_path                   | OpenSim/Framework/NetworkServersInfo.cs:75 (section=Network, default=String.Empty); OpenSim/Server/Base/HttpServerBase.cs:94 (section=Network, default=string.Empty); OpenSim/Server/Base/HttpServerBase.cs:122 (section=Network, default=string.Empty)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | String.Empty; string.Empty                                                  | different fallback defaults                             
cert_pass                   | OpenSim/Framework/NetworkServersInfo.cs:76 (section=Network, default=String.Empty); OpenSim/Server/Base/HttpServerBase.cs:101 (section=Network, default=string.Empty); OpenSim/Server/Base/HttpServerBase.cs:128 (section=Network, default=string.Empty)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | String.Empty; string.Empty                                                  | different fallback defaults                             
https_port                  | OpenSim/Framework/NetworkServersInfo.cs:77 (section=Network, default=0); OpenSim/Server/Base/HttpServerBase.cs:117 (section=Network, default=0); OpenSim/Region/CoreModules/Scripting/LSLHttp/UrlModule.cs:141 (section=Network, default=(int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | (int; 0                                                                     | different fallback defaults                             
